,Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold,Sale_Disc
2,2015.0,Go Set a Watchman,Harper Lee,eng,Novice,3.31,138669,genre fiction,28677.0,8.69,3,"Amazon Digital Services,  Inc.",5500,47795.0
3,2008.0,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898,fiction,24750.0,7.5,3,Hachette Book Group,5500,41250.0
4,2011.0,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283,genre fiction,22771.5,7.99,4,Penguin Group (USA) LLC,4750,37952.5
5,2015.0,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354,genre fiction,0.0,4.99,5,"Amazon Digital Services,  Inc.",4000,19960.0
6,2011.0,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977,genre fiction,16495.002,6.99,6,HarperCollins Publishers,3933,27491.67
8,2012.0,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938,genre fiction,15656.202,6.99,9,HarperCollins Publishers,3733,26093.67
10,2004.0,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415,genre fiction,0.0,4.99,11,"Amazon Digital Services,  Inc.",3600,17964.0
12,2010.0,Last Sacrifice ,Richelle Mead,eng,Famous,4.42,206792,genre fiction,0.0,0.99,13,"Amazon Digital Services,  Inc.",3466,3431.34
17,2006.0,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328,genre fiction,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200,15968.0
19,2006.0,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,genre fiction,0.0,0.99,19,"Amazon Digital Services,  Inc.",3066,3035.34
20,2013.0,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,genre fiction,0.0,3.99,21,"Amazon Digital Services,  Inc.",2933,11702.67
21,2000.0,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,genre fiction,0.0,2.99,22,"Amazon Digital Services,  Inc.",2866,8569.34
24,1996.0,,"Kenneth Branagh, William Shakespeare",eng,Intermediate,4.12,156869,genre fiction,1583.604,0.99,25,"Amazon Digital Services,  Inc.",2666,2639.34
27,2004.0,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,genre fiction,0.0,0.99,29,"Amazon Digital Services,  Inc.",2400,2376.0
31,2010.0,The Way of Kings,Brandon Sanderson,eng,Famous,4.64,144822,genre fiction,0.0,0.99,32,"Amazon Digital Services,  Inc.",2200,2178.0
32,2003.0,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323,genre fiction,7906.8,5.99,32,HarperCollins Publishers,2200,13178.0
33,2006.0,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001,nonfiction,1227.204,0.99,34,HarperCollins Publishers,2066,2045.34
34,2007.0,,Brandon Sanderson,eng,Intermediate,4.35,150736,genre fiction,10788.0,8.99,35,Random House LLC,2000,17980.0
35,2015.0,After You,Jojo Moyes,eng,Intermediate,3.7,99342,genre fiction,0.0,0.99,36,"Amazon Digital Services,  Inc.",1984,1964.16
36,2011.0,The Language of Flowers,Vanessa Diffenbaugh,eng,Intermediate,4.07,140076,genre fiction,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984,1964.16
38,2005.0,The Angel Experiment,James Patterson,eng,Intermediate,4.08,172302,genre fiction,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969,1949.31
40,2003.0,The Guardian,Nicholas Sparks,en-US,Intermediate,4.14,136427,genre fiction,0.0,0.99,42,"Amazon Digital Services,  Inc.",1892,1873.08
41,2003.0,Oryx and Crake,Margaret Atwood,eng,Intermediate,4.0,151500,genre fiction,0.0,3.99,43,"Amazon Digital Services,  Inc.",1876,7485.240000000001
42,1998.0,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,en-US,Intermediate,3.52,113915,genre fiction,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861,3703.39
43,2000.0,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,Intermediate,4.0,134177,genre fiction,6634.524,5.99,45,HarperCollins Publishers,1846,11057.54
44,1999.0,Timeline,Michael Crichton,en-US,Intermediate,3.83,148563,genre fiction,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830,12791.7
50,2013.0,Scarlet,Marissa Meyer,eng,Intermediate,4.3,193766,genre fiction,1032.372,0.99,52,"Amazon Digital Services,  Inc.",1738,1720.62
51,1997.0,"Rich Dad , Poor Dad",Robert T. Kiyosaki,eng,Intermediate,3.95,153764,genre fiction,1023.462,0.99,53,Random House LLC,1723,1705.77
