,Age,Gender,Do you consider yourself to be a fan of the Star Wars film franchise?,movies_seen
2,18-29,Male,No,3
3,18-29,Male,Yes,6
4,18-29,Male,Yes,6
5,18-29,Male,Yes,6
8,18-29,Male,Yes,6
9,18-29,Male,No,1
12,18-29,Male,No,6
13,30-44,Male,Yes,6
15,18-29,Male,Yes,6
16,18-29,Male,Yes,1
19,18-29,Male,Yes,6
22,18-29,Male,Yes,6
23,18-29,Male,Yes,6
26,18-29,Male,Yes,6
29,18-29,Male,Yes,6
30,30-44,Male,No,6
31,30-44,Male,Yes,6
33,18-29,Male,No,2
35,30-44,Male,Yes,6
36,18-29,Male,Yes,6
38,30-44,Male,Yes,6
39,30-44,Male,Yes,6
40,30-44,Male,Yes,6
41,30-44,Male,Yes,6
42,18-29,Male,Yes,6
43,18-29,Male,Yes,6
44,18-29,Male,Yes,6
47,30-44,Male,Yes,6
48,18-29,Male,No,6
50,18-29,Male,Yes,4
52,30-44,Male,Yes,6
53,18-29,Male,Yes,6
54,18-29,Male,Yes,6
56,18-29,Male,Yes,6
57,18-29,Male,Yes,6
58,18-29,Male,Yes,6
59,18-29,Male,No,5
60,18-29,Male,Yes,6
61,30-44,Male,Yes,1
62,18-29,Male,Yes,6
63,30-44,Male,Yes,6
64,18-29,Male,No,6
65,18-29,Male,Yes,6
66,18-29,Male,Yes,6
67,18-29,Male,No,6
68,18-29,Male,Yes,6
69,30-44,Male,Yes,6
70,30-44,Male,Yes,6
71,18-29,Male,Yes,6
72,18-29,Male,Yes,6
73,18-29,Male,Yes,6
74,30-44,Male,No,6
75,30-44,Male,Yes,6
76,30-44,Male,No,2
78,30-44,Male,Yes,5
79,30-44,Male,Yes,6
81,> 60,Male,No,2
83,> 60,Male,Yes,6
85,30-44,Male,Yes,6
88,> 60,Male,No,5
90,30-44,Male,No,5
93,30-44,Male,Yes,6
94,> 60,Male,Yes,4
95,> 60,Male,Yes,6
97,30-44,Male,Yes,6
98,30-44,Male,Yes,6
99,> 60,Male,No,3
100,> 60,Male,Yes,4
101,> 60,Male,Yes,6
102,30-44,Male,Yes,6
106,> 60,Male,No,3
108,> 60,Male,No,1
109,30-44,Male,No,2
110,30-44,Male,Yes,6
111,> 60,Female,Yes,4
112,> 60,Female,No,1
113,30-44,Male,No,6
114,30-44,Female,No,3
116,30-44,Female,No,5
117,30-44,Female,Yes,6
120,30-44,Female,No,3
122,30-44,Female,Yes,6
123,> 60,Female,Yes,6
125,> 60,Female,No,3
131,> 60,Male,Yes,6
132,30-44,Female,Yes,6
133,45-60,Male,No,3
135,> 60,Female,Yes,2
139,> 60,Female,No,4
140,> 60,Female,No,2
141,> 60,Female,No,2
142,30-44,Female,No,2
144,> 60,Female,Yes,6
146,30-44,Male,No,6
147,30-44,Female,No,2
148,30-44,Male,Yes,6
149,18-29,Female,No,1
151,> 60,Female,Yes,3
152,30-44,Female,No,4
153,45-60,Male,No,3
154,30-44,Female,No,6
156,18-29,Female,No,6
158,30-44,Female,Yes,6
159,30-44,Male,No,6
162,> 60,Female,Yes,6
164,45-60,Male,No,2
165,30-44,Male,No,6
166,18-29,Female,No,6
167,30-44,Female,No,3
168,45-60,Female,No,3
169,45-60,Male,No,6
170,30-44,Male,Yes,6
172,18-29,Female,Yes,6
173,30-44,Female,Yes,3
174,18-29,Female,Yes,6
175,45-60,Male,Yes,6
176,45-60,Male,Yes,6
179,45-60,Female,No,6
181,30-44,Male,Yes,6
183,45-60,Female,No,3
185,30-44,Male,Yes,6
186,> 60,Male,Yes,6
187,18-29,Female,Yes,6
188,> 60,Female,Yes,4
191,30-44,Female,Yes,6
194,> 60,Female,Yes,6
196,45-60,Male,Yes,6
198,45-60,Male,No,2
200,45-60,Female,No,2
202,18-29,Male,Yes,6
203,18-29,Male,No,5
204,18-29,Female,Yes,5
206,30-44,Male,Yes,6
211,> 60,Male,Yes,6
215,30-44,Male,Yes,6
217,30-44,Female,Yes,2
220,18-29,Male,Yes,6
223,> 60,Female,No,2
224,45-60,Female,No,6
225,18-29,Male,No,6
227,30-44,Male,Yes,6
231,45-60,Male,No,2
232,30-44,Male,Yes,6
235,> 60,Male,No,6
236,> 60,Female,No,1
239,30-44,Male,Yes,6
244,45-60,Female,No,3
247,45-60,Male,No,3
248,45-60,Female,No,2
249,45-60,Female,Yes,6
250,45-60,Male,Yes,6
253,18-29,Female,No,2
256,45-60,Female,No,2
259,> 60,Female,Yes,5
260,45-60,Female,Yes,6
261,45-60,Male,Yes,6
263,30-44,Male,Yes,6
264,45-60,Male,Yes,6
266,18-29,Female,Yes,6
269,45-60,Male,Yes,6
273,45-60,Male,Yes,6
275,30-44,Male,Yes,6
276,45-60,Male,No,3
279,45-60,Male,Yes,6
280,> 60,Male,Yes,6
282,45-60,Male,Yes,6
283,30-44,Male,Yes,4
284,30-44,Male,Yes,6
285,> 60,Female,Yes,6
287,30-44,Female,No,3
289,18-29,Female,No,2
291,45-60,Male,No,3
294,45-60,Female,No,2
295,30-44,Male,No,5
297,45-60,Female,No,1
298,30-44,Female,Yes,4
299,18-29,Female,No,6
302,45-60,Male,No,6
305,45-60,Male,No,1
307,45-60,Male,Yes,6
309,18-29,Male,Yes,6
311,18-29,Male,Yes,6
313,30-44,Male,Yes,6
315,> 60,Male,Yes,5
316,45-60,Female,Yes,3
