,shooter
0,I don't understand this question
2,I don't understand this question
3,I don't understand this question
4,Greedo
5,Han
6,Han
7,Han
8,Han
9,I don't understand this question
12,Greedo
13,I don't understand this question
14,Han
15,Han
16,Han
17,Greedo
18,Han
19,Greedo
20,Han
21,I don't understand this question
22,Greedo
23,Han
24,Han
26,Greedo
27,Greedo
28,Han
29,Han
30,I don't understand this question
31,Han
32,Han
33,Han
35,Han
36,Greedo
37,Han
38,Han
39,Greedo
40,Han
41,Han
42,Greedo
43,Han
44,Han
45,Han
47,Han
48,Greedo
50,Greedo
51,Han
52,I don't understand this question
53,Han
54,Greedo
56,Han
57,Han
58,Han
59,I don't understand this question
60,Greedo
61,Greedo
62,Han
63,Greedo
64,I don't understand this question
65,Han
66,Greedo
67,I don't understand this question
68,Han
69,Greedo
70,Han
71,Han
72,Greedo
73,Greedo
74,I don't understand this question
75,Greedo
76,Greedo
77,Greedo
78,Han
79,Han
81,I don't understand this question
82,Greedo
83,Greedo
85,Han
88,Greedo
90,Han
91,Han
93,Greedo
94,I don't understand this question
95,Han
97,Greedo
98,I don't understand this question
99,Greedo
100,I don't understand this question
101,Greedo
102,Greedo
106,Greedo
107,Han
108,I don't understand this question
109,I don't understand this question
110,Han
111,Greedo
112,I don't understand this question
113,Han
114,I don't understand this question
116,I don't understand this question
117,Han
120,I don't understand this question
122,Han
123,I don't understand this question
125,I don't understand this question
131,I don't understand this question
132,I don't understand this question
133,Han
135,Han
139,I don't understand this question
140,I don't understand this question
141,I don't understand this question
142,I don't understand this question
143,I don't understand this question
144,Greedo
146,Greedo
147,I don't understand this question
148,I don't understand this question
149,Han
151,Han
152,Han
153,I don't understand this question
154,I don't understand this question
155,Greedo
156,Greedo
158,Greedo
159,Han
160,I don't understand this question
161,I don't understand this question
162,Han
163,I don't understand this question
164,Greedo
165,Han
166,Han
167,I don't understand this question
168,Han
169,Han
170,Han
172,Greedo
173,Greedo
174,Han
175,Han
176,Han
177,Greedo
178,Greedo
179,I don't understand this question
181,Han
183,Han
185,Han
186,Han
187,Han
188,I don't understand this question
191,Greedo
194,I don't understand this question
196,Han
198,I don't understand this question
200,I don't understand this question
202,Han
203,Greedo
204,Han
206,Greedo
207,I don't understand this question
209,Greedo
211,Han
212,Han
215,Han
216,Greedo
217,Greedo
220,Greedo
223,I don't understand this question
224,Greedo
225,Han
227,Greedo
228,Greedo
229,Greedo
231,Han
232,Greedo
235,I don't understand this question
236,I don't understand this question
237,Han
238,I don't understand this question
239,Greedo
241,Han
242,Han
244,Han
245,Han
246,I don't understand this question
247,I don't understand this question
248,I don't understand this question
249,Han
250,I don't understand this question
253,Han
255,Han
256,I don't understand this question
257,I don't understand this question
258,Greedo
259,Han
260,Han
261,Han
263,Han
264,Han
266,Han
267,Han
269,Greedo
270,I don't understand this question
271,Han
273,I don't understand this question
274,Han
275,Han
276,Han
279,I don't understand this question
280,Han
281,I don't understand this question
282,Greedo
283,Han
284,I don't understand this question
285,Han
287,I don't understand this question
289,Greedo
290,I don't understand this question
291,I don't understand this question
294,I don't understand this question
295,I don't understand this question
297,Greedo
298,Han
299,I don't understand this question
302,I don't understand this question
304,Han
305,I don't understand this question
307,Han
308,I don't understand this question
309,Han
310,Han
311,Han
313,Han
315,Greedo
316,Greedo
317,Han
318,I don't understand this question
320,Greedo
323,I don't understand this question
325,I don't understand this question
327,I don't understand this question
328,I don't understand this question
329,Han
330,I don't understand this question
331,Han
332,I don't understand this question
333,Han
334,Han
335,I don't understand this question
336,Han
338,Greedo
339,Greedo
340,I don't understand this question
341,Han
342,I don't understand this question
345,Greedo
346,Han
347,I don't understand this question
348,Han
349,Greedo
350,Han
351,Greedo
354,Greedo
356,Han
357,I don't understand this question
359,I don't understand this question
360,Greedo
362,Han
364,I don't understand this question
365,I don't understand this question
366,I don't understand this question
368,I don't understand this question
369,I don't understand this question
370,Han
373,I don't understand this question
374,Han
375,I don't understand this question
376,Greedo
381,I don't understand this question
382,Greedo
384,Han
388,Han
389,I don't understand this question
391,I don't understand this question
392,Han
393,I don't understand this question
395,I don't understand this question
396,I don't understand this question
397,Greedo
399,Han
400,Han
402,Greedo
403,Han
404,I don't understand this question
405,I don't understand this question
406,Han
409,Greedo
411,Greedo
412,Han
414,Greedo
415,Greedo
416,Greedo
418,Greedo
419,Han
422,Han
423,Greedo
424,Han
425,Han
426,Han
428,Han
430,Han
431,Han
432,Greedo
433,I don't understand this question
434,Han
435,Han
436,I don't understand this question
437,I don't understand this question
438,Han
439,Han
440,Greedo
441,Greedo
442,Han
444,Han
445,Greedo
448,Han
449,Han
452,Han
454,Greedo
455,I don't understand this question
457,I don't understand this question
458,Greedo
460,I don't understand this question
461,I don't understand this question
462,Han
463,I don't understand this question
464,Han
465,Han
466,I don't understand this question
467,Greedo
468,Han
469,I don't understand this question
471,Han
472,Han
473,Greedo
475,Han
476,Han
477,Han
478,I don't understand this question
479,Han
481,Han
483,I don't understand this question
484,Greedo
485,Han
486,I don't understand this question
489,Han
490,I don't understand this question
491,I don't understand this question
493,Han
494,Han
495,I don't understand this question
497,Han
498,Han
499,I don't understand this question
500,Greedo
501,Han
503,Han
504,Han
505,Greedo
506,I don't understand this question
507,I don't understand this question
508,I don't understand this question
509,Greedo
513,Han
514,Greedo
517,Greedo
518,Greedo
519,Greedo
520,Han
521,Han
522,I don't understand this question
523,I don't understand this question
524,Han
527,I don't understand this question
528,Han
529,I don't understand this question
530,Han
531,I don't understand this question
532,Han
533,I don't understand this question
534,Greedo
535,Greedo
537,Han
538,I don't understand this question
541,Greedo
542,I don't understand this question
545,Han
548,I don't understand this question
549,Greedo
551,Greedo
552,Greedo
554,I don't understand this question
555,I don't understand this question
556,I don't understand this question
560,I don't understand this question
561,Han
563,I don't understand this question
564,Han
565,Han
566,Han
567,I don't understand this question
568,Han
569,I don't understand this question
570,I don't understand this question
571,Han
572,Greedo
574,I don't understand this question
575,Han
576,I don't understand this question
581,Han
584,Han
585,Han
586,I don't understand this question
590,I don't understand this question
591,Greedo
592,I don't understand this question
593,I don't understand this question
594,Han
595,Han
596,Greedo
598,I don't understand this question
600,Han
601,Han
602,Han
603,Han
604,I don't understand this question
606,I don't understand this question
607,Han
608,Greedo
609,Greedo
610,Greedo
620,Greedo
621,I don't understand this question
622,Greedo
623,I don't understand this question
625,Han
626,I don't understand this question
627,I don't understand this question
630,I don't understand this question
631,Han
632,Greedo
634,Greedo
635,Han
636,I don't understand this question
637,Han
638,I don't understand this question
639,I don't understand this question
640,I don't understand this question
641,Han
642,Han
643,Greedo
645,Han
649,I don't understand this question
650,I don't understand this question
652,Greedo
653,I don't understand this question
654,I don't understand this question
655,Han
656,Han
657,Greedo
658,Greedo
659,I don't understand this question
662,Greedo
664,I don't understand this question
665,I don't understand this question
666,I don't understand this question
667,I don't understand this question
670,I don't understand this question
671,I don't understand this question
673,Greedo
675,Han
676,I don't understand this question
677,Han
679,Han
680,Han
681,Han
683,I don't understand this question
684,I don't understand this question
685,Greedo
686,Han
687,I don't understand this question
689,Han
690,Greedo
691,I don't understand this question
692,I don't understand this question
693,Greedo
694,Greedo
695,I don't understand this question
696,I don't understand this question
698,I don't understand this question
700,Han
701,I don't understand this question
702,Han
703,I don't understand this question
704,Han
705,Han
706,Han
711,Han
712,I don't understand this question
713,Greedo
714,Greedo
715,Han
716,I don't understand this question
717,I don't understand this question
718,I don't understand this question
719,I don't understand this question
721,Han
722,Han
724,I don't understand this question
725,Han
726,Greedo
728,Han
729,I don't understand this question
731,Han
732,Han
735,Han
739,Greedo
740,Han
741,I don't understand this question
742,Han
743,I don't understand this question
744,Han
745,Han
750,I don't understand this question
751,Han
752,I don't understand this question
753,Han
754,Greedo
755,I don't understand this question
756,I don't understand this question
757,Han
761,Han
762,Han
763,I don't understand this question
766,Greedo
767,Han
768,Greedo
770,I don't understand this question
771,I don't understand this question
773,I don't understand this question
774,Han
775,I don't understand this question
776,I don't understand this question
777,I don't understand this question
778,Han
779,I don't understand this question
780,Han
781,I don't understand this question
783,Han
785,Han
787,Han
788,Greedo
789,Han
790,Han
791,Han
793,Greedo
794,I don't understand this question
797,I don't understand this question
798,I don't understand this question
799,Greedo
800,I don't understand this question
802,Greedo
803,I don't understand this question
805,Greedo
809,I don't understand this question
810,I don't understand this question
811,I don't understand this question
813,Greedo
814,I don't understand this question
815,I don't understand this question
819,Greedo
820,Greedo
821,Greedo
827,Greedo
828,I don't understand this question
829,Han
831,Han
832,I don't understand this question
833,Han
834,I don't understand this question
835,Greedo
836,Han
837,I don't understand this question
839,I don't understand this question
840,Han
843,Han
846,Han
847,Greedo
848,Greedo
849,Han
850,Han
851,Han
852,Greedo
853,Greedo
854,I don't understand this question
855,I don't understand this question
856,I don't understand this question
